Date , AIT101 NTU , AIT301 ppm , AIT401 NTU , FIT101 Lpm , FIT210 Lpm , FIT230 Lpm , FIT250 Lpm , FIT401 Lpm , PT100 psi , PT101 psi , PT151 psi , PT161 psi , PT171 psi , PT301 psi , PT302 psi
2024-01-01 12:00:01 AM,9.980107,0,0,8.311632,8.308015,8.308015,-1.446759E-02,6.293403,88.46571,87.3262,0,86.73357,87.97653,0,8.138021E-02
2024-01-01 12:01:01 AM,9.979383,0,0,8.304399,8.311632,8.347801,-1.446759E-02,6.228299,88.28667,87.27901,0,86.69163,87.9136,0,0.0922309
2024-01-01 12:02:01 AM,9.979383,0,0,8.347801,8.304399,8.43099,-1.446759E-02,6.351274,88.66645,87.53074,0,86.92763,88.21252,0,7.052951E-02
2024-01-01 12:03:01 AM,9.979383,0,0,8.22121,8.23206,8.398438,-1.808449E-02,6.372975,88.38976,87.29475,0,86.74406,87.98177,0,8.138021E-02
2024-01-01 12:04:01 AM,9.979022,0,0,8.347801,8.326099,8.355035,-1.808449E-02,6.394676,88.42231,87.3262,0,86.72309,88.00275,0,6.510416E-02
2024-01-01 12:05:01 AM,9.980107,0,0,8.257379,8.300781,8.355035,-1.446759E-02,6.282552,88.23242,87.11118,0,86.571,87.8087,0,7.052951E-02
2024-01-01 12:06:01 AM,9.979383,0,0,8.38397,8.38397,8.434607,-2.531829E-02,6.087239,88.79123,87.61465,0,86.98007,88.23875,0,9.765625E-02
2024-01-01 12:07:01 AM,9.979022,0,0,8.322482,8.304399,8.347801,-1.808449E-02,6.394676,88.43858,87.34719,0,86.69687,87.97653,0,8.680556E-02
2024-01-01 12:08:01 AM,9.979383,0,0,8.322482,8.344184,8.355035,-1.808449E-02,6.430845,88.7858,87.65137,0,87.03777,88.30168,0,8.680556E-02
2024-01-01 12:09:01 AM,9.979383,0,0,8.358651,8.340568,8.391204,-1.446759E-02,6.340423,88.74783,87.58318,0,86.95385,88.27547,0,6.510416E-02
2024-01-01 12:10:01 AM,9.979383,0,0,8.38397,8.416522,8.402055,-1.808449E-02,6.456163,88.91059,87.78248,0,87.22131,88.43804,0,9.765625E-02
2024-01-01 12:11:01 AM,9.980107,0,0,8.257379,8.304399,8.402055,-1.808449E-02,6.304254,88.76411,87.69333,0,87.1479,88.41182,0,5.967882E-02
2024-01-01 12:12:01 AM,9.979383,0,0,8.268229,8.300781,8.257379,-1.446759E-02,6.467014,88.41145,87.20559,0,86.59197,87.86115,0,9.765625E-02
2024-01-01 12:13:01 AM,9.98083,0,0,8.271846,8.304399,8.391204,-1.446759E-02,6.35489,88.2487,86.99055,0,86.46086,87.7143,0,8.680556E-02
2024-01-01 12:14:01 AM,9.980107,0,0,8.304399,8.304399,8.318866,-1.808449E-02,6.278935,88.14019,86.88567,0,86.29829,87.56746,0,0.0922309
2024-01-01 12:15:01 AM,9.979383,0,0,8.308015,8.304399,8.311632,-2.893518E-02,6.467014,88.49826,87.39964,0,86.71785,87.98177,0,8.680556E-02
2024-01-01 12:16:01 AM,9.98083,0,0,8.318866,8.300781,8.344184,-1.446759E-02,6.456163,88.58507,87.50452,0,86.82798,88.13387,0,7.052951E-02
2024-01-01 12:17:01 AM,9.979745,0,0,8.308015,8.28993,8.271846,-1.808449E-02,6.105324,88.10764,86.96433,0,86.32976,87.60941,0,0.0922309
2024-01-01 12:18:01 AM,9.980107,0,0,8.355035,8.340568,8.376737,-3.255209E-02,6.105324,88.30838,87.27901,0,86.571,87.93982,0,8.680556E-02
2024-01-01 12:19:01 AM,9.979745,0,0,8.286314,8.304399,8.355035,-1.446759E-02,5.960648,88.49284,87.28426,0,86.78603,88.03421,0,0.124783
2024-01-01 12:20:01 AM,9.978298,0,0,8.213976,8.23206,8.358651,-2.531829E-02,6.029369,88.00455,87.00629,0,86.35073,87.6199,0,9.765625E-02
2024-01-01 12:21:01 AM,9.979383,0,0,8.355035,8.344184,8.434607,-1.446759E-02,6.188513,88.65017,87.60941,0,86.93811,88.20204,0,9.765625E-02
2024-01-01 12:22:01 AM,9.98083,0,0,8.195891,8.159722,8.239294,-1.446759E-02,6.061921,87.57053,86.51855,0,85.91019,87.15314,0,0.1139323
